Molecule_ID,Name,SMILES,Handedness
Mol_1,"(2R)-1,2-dimethylpyrrolidine-2-carboxamide",CN1CCC[C@]1(C)C(N)=O,1:R
Mol_2,"(2R)-1,2-dimethylpyrrolidine-2-carboxamide_enantiomer",CN1CCC[C@@]1(C)C(N)=O,1:S
Mol_3,(1R)-1-(furan-2-yl)-2-methylpropan-1-amine,CC(C)[C@@H](N)c1ccco1,3:R
Mol_4,(1R)-1-(furan-2-yl)-2-methylpropan-1-amine_enantiomer,CC(C)[C@H](N)c1ccco1,3:S
Mol_5,(2R)-1-hydroxypropane-2-sulfonamide,C[C@H](CO)S(N)(=O)=O,1:R
Mol_6,(2R)-1-hydroxypropane-2-sulfonamide_enantiomer,C[C@@H](CO)S(N)(=O)=O,1:S
Mol_7,(3R)-3-sulfanylpentanoic acid,CC[C@@H](S)CC(=O)O,2:R
Mol_8,(3R)-3-sulfanylpentanoic acid_enantiomer,CC[C@H](S)CC(=O)O,2:S
Mol_9,(4S)-4-hydroxypyrrolidin-2-one,O=C1C[C@H](O)CN1,1:S
Mol_10,(4S)-4-hydroxypyrrolidin-2-one_enantiomer,O=C1C[C@@H](O)CN1,1:R
Mol_11,"(3S,4R)-3,4-dihydroxypentan-2-one",CC(=O)[C@@H](O)[C@@H](C)O,"1:R,2:S"
Mol_12,"(3S,4R)-3,4-dihydroxypentan-2-one_enantiomer",CC(=O)[C@H](O)[C@H](C)O,"1:S,2:R"
Mol_13,"(1R)-2,2-dimethylcyclobutane-1-carboxylic acid",CC1(C)CC[C@H]1C(=O)O,4:R
Mol_14,"(1R)-2,2-dimethylcyclobutane-1-carboxylic acid_enantiomer",CC1(C)CC[C@@H]1C(=O)O,4:S
Mol_15,[(3R)-1-azabicyclo[2.2.2]octan-3-yl]methanol,OC[C@H]1CN2CCC1CC2,6:R
Mol_16,[(3R)-1-azabicyclo[2.2.2]octan-3-yl]methanol_enantiomer,OC[C@@H]1CN2CCC1CC2,6:S
Mol_17,N-methyl-1-[(3R)-morpholin-3-yl]methanamine;hydrochloride,CNC[C@@H]1COCCN1.Cl,3:R
Mol_18,N-methyl-1-[(3R)-morpholin-3-yl]methanamine;hydrochloride_enantiomer,CNC[C@H]1COCCN1.Cl,3:S
Mol_19,"(8aR)-2,3,4,7,8,8a-hexahydro-1H-pyrrolo[1,2-a]pyrazin-6-one",O=C1CC[C@@H]2CNCCN12,5:R
Mol_20,"(8aR)-2,3,4,7,8,8a-hexahydro-1H-pyrrolo[1,2-a]pyrazin-6-one_enantiomer",O=C1CC[C@H]2CNCCN12,5:S
Mol_21,(2R)-2-methylpentanoic acid,CCC[C@@H](C)C(=O)O,3:R
Mol_22,(2R)-2-methylpentanoic acid_enantiomer,CCC[C@H](C)C(=O)O,3:S
Mol_23,"(1R)-2,2,2-trifluoro-1-(oxetan-3-yl)ethanamine",N[C@H](C1COC1)C(F)(F)F,4:R
Mol_24,"(1R)-2,2,2-trifluoro-1-(oxetan-3-yl)ethanamine_enantiomer",N[C@@H](C1COC1)C(F)(F)F,4:S
Mol_25,"[(2R)-6,6-dimethylmorpholin-2-yl]methanol",CC1(C)CNC[C@H](CO)O1,5:R
Mol_26,"[(2R)-6,6-dimethylmorpholin-2-yl]methanol_enantiomer",CC1(C)CNC[C@@H](CO)O1,5:S
Mol_27,[(3R)-piperidin-3-yl]methanol;hydrochloride,Cl.OC[C@@H]1CCCNC1,2:R
Mol_28,[(3R)-piperidin-3-yl]methanol;hydrochloride_enantiomer,Cl.OC[C@H]1CCCNC1,2:S
Mol_29,imino-(2-methoxyethyl)-methyl-oxo-lambda6-sulfane,COCC[S@](C)(=N)=O,4:R
Mol_30,imino-(2-methoxyethyl)-methyl-oxo-lambda6-sulfane_enantiomer,COCC[S@@](C)(=N)=O,4:S
Mol_31,(2R)-2-prop-2-enylpiperidine;hydrochloride,C=CC[C@H]1CCCCN1.Cl,3:R
Mol_32,(2R)-2-prop-2-enylpiperidine;hydrochloride_enantiomer,C=CC[C@@H]1CCCCN1.Cl,3:S
Mol_33,(2R)-2-bromo-4-methylpentanoic acid,CC(C)C[C@@H](Br)C(=O)O,4:R
Mol_34,(2R)-2-bromo-4-methylpentanoic acid_enantiomer,CC(C)C[C@H](Br)C(=O)O,4:S
Mol_35,"(2R,3S)-3-hydroxy-2-methylbutanoic acid",C[C@H](O)[C@@H](C)C(=O)O,"1:R,2:S"
Mol_36,"(2R,3S)-3-hydroxy-2-methylbutanoic acid_enantiomer",C[C@H](C(=O)O)[C@@H](C)O,"1:S,2:R"
Mol_37,(3R)-1-cyclopropylpiperidin-3-amine,N[C@@H]1CCCN(C2CC2)C1,2:R
Mol_38,(3R)-1-cyclopropylpiperidin-3-amine_enantiomer,N[C@H]1CCCN(C2CC2)C1,2:S
Mol_39,1-[(R)-tert-butylsulfinyl]-N-(chloromethyl)methanimine,CC(C)(C)[S@@](=O)C=NCCl,4:S
Mol_40,1-[(R)-tert-butylsulfinyl]-N-(chloromethyl)methanimine_enantiomer,CC(C)(C)[S@](=O)C=NCCl,4:R
Mol_41,1-[(2R)-2-aminopropyl]-3-methylazetidin-3-ol,C[C@@H](N)CN1CC(C)(O)C1,1:R
Mol_42,1-[(2R)-2-aminopropyl]-3-methylazetidin-3-ol_enantiomer,C[C@H](N)CN1CC(C)(O)C1,1:S
Mol_43,"methyl (4R)-1,3-thiazolidine-4-carboxylate;hydrochloride",COC(=O)[C@@H]1CSCN1.Cl,4:R
Mol_44,"methyl (4R)-1,3-thiazolidine-4-carboxylate;hydrochloride_enantiomer",COC(=O)[C@H]1CSCN1.Cl,4:S
Mol_45,(2R)-butane-2-sulfonic acid,CC[C@@H](C)S(=O)(=O)O,2:R
Mol_46,(2R)-butane-2-sulfonic acid_enantiomer,CC[C@H](C)S(=O)(=O)O,2:S
Mol_47,(2R)-3-chloro-2-methylpropanoic acid,C[C@@H](CCl)C(=O)O,1:R
Mol_48,(2R)-3-chloro-2-methylpropanoic acid_enantiomer,C[C@H](CCl)C(=O)O,1:S
Mol_49,(3R)-3-aminooxetan-2-one,N[C@@H]1COC1=O,1:R
Mol_50,(3R)-3-aminooxetan-2-one_enantiomer,N[C@H]1COC1=O,1:S
Mol_51,"(5R)-5-methyl-1,4-diazepane",C[C@@H]1CCNCCN1,1:R
Mol_52,"(5R)-5-methyl-1,4-diazepane_enantiomer",C[C@H]1CCNCCN1,1:S
Mol_53,(2R)-2-bromooctane,CCCCCC[C@@H](C)Br,6:R
Mol_54,(2R)-2-bromooctane_enantiomer,CCCCCC[C@H](C)Br,6:S
Mol_55,[(6R)-5-azaspiro[2.4]heptan-6-yl]methanol,OC[C@H]1CC2(CC2)CN1,4:R
Mol_56,[(6R)-5-azaspiro[2.4]heptan-6-yl]methanol_enantiomer,OC[C@@H]1CC2(CC2)CN1,4:S
Mol_57,(2R)-1-methoxypropane-2-sulfonamide,COC[C@@H](C)S(N)(=O)=O,1:R
Mol_58,(2R)-1-methoxypropane-2-sulfonamide_enantiomer,COC[C@H](C)S(N)(=O)=O,1:S
Mol_59,(1R)-1-(1-methylpiperidin-4-yl)ethanamine,C[C@@H](N)C1CCN(C)CC1,1:R
Mol_60,(1R)-1-(1-methylpiperidin-4-yl)ethanamine_enantiomer,C[C@H](N)C1CCN(C)CC1,1:S
Mol_61,1-[(2R)-butan-2-yl]piperazine,CC[C@@H](C)N1CCNCC1,2:R
Mol_62,1-[(2R)-butan-2-yl]piperazine_enantiomer,CC[C@H](C)N1CCNCC1,2:S
Mol_63,(2R)-2-propylhexan-1-ol,CCCC[C@H](CO)CCC,4:R
Mol_64,(2R)-2-propylhexan-1-ol_enantiomer,CCCC[C@@H](CO)CCC,4:S
Mol_65,"(2R,3R)-2,3,4-trihydroxybutanal",O=C[C@H](O)[C@H](O)CO,"1:R,2:R"
Mol_66,"(2R,3R)-2,3,4-trihydroxybutanal_enantiomer",O=C[C@@H](O)[C@@H](O)CO,"1:S,2:S"
Mol_67,(2R)-2-amino-2-cyanoacetamide,N#C[C@@H](N)C(N)=O,2:R
Mol_68,(2R)-2-amino-2-cyanoacetamide_enantiomer,N#C[C@H](N)C(N)=O,2:S
Mol_69,"(4R)-4-propyl-4,5-dihydro-1,3-oxazol-2-amine",CCC[C@@H]1COC(N)=N1,3:R
Mol_70,"(4R)-4-propyl-4,5-dihydro-1,3-oxazol-2-amine_enantiomer",CCC[C@H]1COC(N)=N1,3:S
Mol_71,"(3R)-1,1-dioxothiolane-3-carbaldehyde",O=C[C@H]1CCS(=O)(=O)C1,6:R
Mol_72,"(3R)-1,1-dioxothiolane-3-carbaldehyde_enantiomer",O=C[C@@H]1CCS(=O)(=O)C1,6:S
Mol_73,(2R)-2-hydroxyhexan-3-one,CCCC(=O)[C@@H](C)O,5:R
Mol_74,(2R)-2-hydroxyhexan-3-one_enantiomer,CCCC(=O)[C@H](C)O,5:S
Mol_75,"(3R)-3-bromo-2,3-dihydrothiophene 1,1-dioxide",O=S1(=O)C=C[C@@H](Br)C1,1:R
Mol_76,"(3R)-3-bromo-2,3-dihydrothiophene 1,1-dioxide_enantiomer",O=S1(=O)C=C[C@H](Br)C1,1:S
Mol_77,hydroxy-[(1R)-1-hydroxyethyl]-oxophosphanium,C[C@H](O)[P+](=O)O,"1:R,3:?"
Mol_78,hydroxy-[(1R)-1-hydroxyethyl]-oxophosphanium_enantiomer,C[C@@H](O)[P+](=O)O,"1:S,3:?"
Mol_79,(5R)-5-methylpyrrolidin-3-one,C[C@@H]1CC(=O)CN1,1:R
Mol_80,(5R)-5-methylpyrrolidin-3-one_enantiomer,C[C@H]1CC(=O)CN1,1:S
Mol_81,"(4R)-2,2-dimethyloxan-4-amine;hydrochloride",CC1(C)C[C@H](N)CCO1.Cl,3:R
Mol_82,"(4R)-2,2-dimethyloxan-4-amine;hydrochloride_enantiomer",CC1(C)C[C@@H](N)CCO1.Cl,3:S
Mol_83,(1R)-1-(5-fluoro-2-pyridinyl)ethanol,C[C@@H](O)c1ccc(F)cn1,1:R
Mol_84,(1R)-1-(5-fluoro-2-pyridinyl)ethanol_enantiomer,C[C@H](O)c1ccc(F)cn1,1:S
Mol_85,"(3R)-3-amino-4,4,4-trifluorobutan-1-ol;hydrochloride",Cl.N[C@H](CCO)C(F)(F)F,3:R
Mol_86,"(3R)-3-amino-4,4,4-trifluorobutan-1-ol;hydrochloride_enantiomer",Cl.N[C@@H](CCO)C(F)(F)F,3:S
Mol_87,methyl (3R)-3-aminopentanoate;hydrochloride,CC[C@@H](N)CC(=O)OC.Cl,2:R
Mol_88,methyl (3R)-3-aminopentanoate;hydrochloride_enantiomer,CC[C@H](N)CC(=O)OC.Cl,2:S
Mol_89,(3R)-piperidine-3-carboxylic acid;hydrochloride,Cl.O=C(O)[C@@H]1CCCNC1,2:R
Mol_90,(3R)-piperidine-3-carboxylic acid;hydrochloride_enantiomer,Cl.O=C(O)[C@H]1CCCNC1,2:S
Mol_91,(1R)-1-(5-methylthiophen-2-yl)propan-1-amine,CC[C@@H](N)c1ccc(C)s1,2:R
Mol_92,(1R)-1-(5-methylthiophen-2-yl)propan-1-amine_enantiomer,CC[C@H](N)c1ccc(C)s1,2:S
Mol_93,"(1R,5S)-6,6-dimethylbicyclo[3.1.1]heptan-2-one",CC1(C)[C@H]2CCC(=O)[C@@H]1C2,"2:S,7:R"
Mol_94,"(1R,5S)-6,6-dimethylbicyclo[3.1.1]heptan-2-one_enantiomer",CC1(C)[C@@H]2CCC(=O)[C@H]1C2,"2:R,7:S"
Mol_95,"(E,2R)-2-hydroxypent-3-enenitrile",C/C=C/[C@@H](O)C#N,3:R
Mol_96,"(E,2R)-2-hydroxypent-3-enenitrile_enantiomer",C/C=C/[C@H](O)C#N,3:S
Mol_97,(2S)-hexan-2-ol,CCCC[C@H](C)O,4:S
Mol_98,(2S)-hexan-2-ol_enantiomer,CCCC[C@@H](C)O,4:R
Mol_99,(2R)-2-ethoxypropan-1-ol,CCO[C@H](C)CO,3:R
Mol_100,(2R)-2-ethoxypropan-1-ol_enantiomer,CCO[C@@H](C)CO,3:S
Mol_101,(1R)-1-(3-bromophenyl)ethanol,C[C@@H](O)c1cccc(Br)c1,1:R
Mol_102,(1R)-1-(3-bromophenyl)ethanol_enantiomer,C[C@H](O)c1cccc(Br)c1,1:S
Mol_103,N-[(R)-amino(cyclopropyl)methyl]-2-sulfanylacetamide,N[C@H](NC(=O)CS)C1CC1,3:R
Mol_104,N-[(R)-amino(cyclopropyl)methyl]-2-sulfanylacetamide_enantiomer,N[C@@H](NC(=O)CS)C1CC1,3:S
Mol_105,(4R)-1-methyl-4-prop-1-en-2-ylcyclohexene,C=C(C)[C@H]1CC=C(C)CC1,4:R
Mol_106,(4R)-1-methyl-4-prop-1-en-2-ylcyclohexene_enantiomer,C=C(C)[C@@H]1CC=C(C)CC1,4:S
Mol_107,(2R)-2-hydroxyoctan-3-one,CCCCCC(=O)[C@@H](C)O,7:R
Mol_108,(2R)-2-hydroxyoctan-3-one_enantiomer,CCCCCC(=O)[C@H](C)O,7:S
Mol_109,(3R)-3-ethylpiperazin-2-one,CC[C@H]1NCCNC1=O,2:R
Mol_110,(3R)-3-ethylpiperazin-2-one_enantiomer,CC[C@@H]1NCCNC1=O,2:S
Mol_111,(2R)-2-amino-5-(hydroxyamino)pentanoic acid,N[C@H](CCCNO)C(=O)O,2:R
