cid,iupacname,smiles
118259119,(R)-2-methyl-N-propan-2-ylidenepropane-2-sulfinamide,CC(=N[S@](=O)C(C)(C)C)C
154721998,(R)-N-(2-chloroethyl)-2-methylpropane-2-sulfinamide,CC(C)(C)[S@@](=O)NCCCl
996,phenol,C1=CC=C(C=C1)O
11159499,(R)-3-ethylpentane-3-sulfinamide,CCC(CC)(CC)[S@@](=O)N
12277752,[(R)-ethylsulfinyl]benzene,CC[S@@](=O)C1=CC=CC=C1
13651510,1-methyl-3-[(R)-methylsulfinyl]benzene,CC1=CC(=CC=C1)[S@](=O)C
58659580,1-[(R)-tert-butylsulfinyl]-2-methylpropane,CC(C)C[S@@](=O)C(C)(C)C
71379285,2-[(R)-ethenylsulfinyl]furan,C=C[S@@](=O)C1=CC=CO1
89726206,(R)-cyclopropyl(pyrrolidin-2-yl)methanol,C1CC(NC1)[C@@H](C2CC2)O
89044807,"(R)-N,2-dimethylpropane-2-sulfinamide",CC(C)(C)[S@@](=O)NC
124675126,(R)-2-methyl-N-propylpropane-2-sulfinamide,CCCN[S@](=O)C(C)(C)C
93493997,2-[(R)-methylsulfinyl]pyrimidine,C[S@@](=O)C1=NC=CC=N1
93501721,1-fluoro-3-[(R)-methylsulfinyl]benzene,C[S@@](=O)C1=CC=CC(=C1)F
137349688,N-[4-[(R)-methylsulfinyl]butyl]methanethioamide,C[S@@](=O)CCCCNC=S
4661317,oxolane-3-carboxylic acid,C1COCC1C(=O)O
11287433,1-bromo-3-[(R)-methylsulfinyl]benzene,C[S@@](=O)C1=CC(=CC=C1)Br
11029980,[(R)-methylsulfinyl]cyclohexane,C[S@@](=O)C1CCCCC1
11051889,2-[(R)-ethylsulfinyl]pyridine,CC[S@@](=O)C1=CC=CC=N1
71348347,1-[(R)-but-3-enylsulfinyl]butane,CCCC[S@@](=O)CCC=C
55293087,(R)-cyclobutyl(cyclopropyl)methanamine,C1CC(C1)[C@@H](C2CC2)N
152079984,[(R)-bromomethylsulfinyl]cyclobutane,C1CC(C1)[S@@](=O)CBr
115011038,(R)-cyclopropanesulfinamide,C1CC1[S@@](=O)N
51534037,3-[(R)-methylsulfinyl]propan-1-amine,C[S@@](=O)CCCN
171381383,"(R)-2,3,5,6-tetradeuterio-4-methylbenzenesulfinamide",[2H]C1=C(C(=C(C(=C1C)[2H])[2H])[S@@](=O)N)[2H]
12296005,propyl (R)-methanesulfinate,CCCO[S@@](=O)C
87277631,(R)-2-methylpropane-1-sulfinamide,CC(C)C[S@@](=O)N
131747533,(R)-2-methyl-N-propylidenepropane-2-sulfinamide,CCC=N[S@](=O)C(C)(C)C
154727638,(2R)-2-[[(R)-methylsulfinyl]amino]propanoic acid,C[C@H](C(=O)O)N[S@](=O)C
124304773,1-[(R)-methylsulfinyl]ethene,C[S@@](=O)C=C
13497541,1-methyl-2-[(R)-methylsulfinyl]benzene,CC1=CC=CC=C1[S@](=O)C
70789322,(E)-1-[(R)-tert-butylsulfinyl]but-2-ene,C/C=C/C[S@@](=O)C(C)(C)C
11182733,(R)-N-methylbenzenesulfinamide,CN[S@](=O)C1=CC=CC=C1
101917327,"2-[(R)-chloro(fluoro)methoxy]-1,1,1,2-tetrafluoroethane",[C@@H](OC(C(F)(F)F)F)(F)Cl
53487354,(R)-2-methylbutane-2-sulfinamide,CCC(C)(C)[S@@](=O)N
129888393,(R)-methoxy(methylamino)methanol,CN[C@H](O)OC
643189,(1R)-1-phenylethanamine,C[C@H](C1=CC=CC=C1)N
2724541,[(2R)-pyrrolidin-2-yl]methanol,C1C[C@@H](NC1)CO
637516,(1R)-1-phenylethanol,C[C@H](C1=CC=CC=C1)O
2759337,(3R)-pyrrolidin-3-ol,C1CNC[C@@H]1O
2733933,"(1R)-2,3-dihydro-1H-inden-1-amine",C1CC2=CC=CC=C2[C@@H]1N
736056,"[(4R)-2,2-dimethyl-1,3-dioxolan-4-yl]methanol",CC1(OC[C@H](O1)CO)C
444305,"(2R,3R)-2,3-dihydroxybutanedioic acid",[C@@H]([C@H](C(=O)O)O)(C(=O)O)O
61503,(2R)-2-hydroxypropanoic acid,C[C@H](C(=O)O)O
92270,(2R)-2-[(2R)-oxiran-2-yl]oxirane,C1[C@@H](O1)[C@H]2CO2
875,"2,3-dihydroxybutanedioic acid",C(C(C(=O)O)O)(C(=O)O)O
23978,copper,[Cu]
5324978,(1R)-1-phenylpropan-1-amine,CC[C@H](C1=CC=CC=C1)N
5459822,(2R)-3-amino-2-methylpropanoic acid,C[C@H](CN)C(=O)O
92135,(3R)-3-hydroxybutanoic acid,C[C@H](CC(=O)O)O
2758521,"(3R)-N,N-dimethylpyrrolidin-3-amine",CN(C)[C@@H]1CCNC1
80308,(2R)-2-aminopropan-1-ol,C[C@H](CO)N
156615,(2R)-1-(1H-imidazol-5-yl)propan-2-amine,C[C@H](CC1=CN=CN1)N
259994,"(2R)-propane-1,2-diol",C[C@H](CO)O
637514,methyl (2R)-2-hydroxypropanoate,C[C@H](C(=O)OC)O
2060888,(1R)-N-methyl-1-phenylethanamine,C[C@H](C1=CC=CC=C1)NC
104532,(2R)-5-oxooxolane-2-carboxylic acid,C1CC(=O)O[C@H]1C(=O)O
1715226,(1R)-1-(4-chlorophenyl)ethanamine,C[C@H](C1=CC=C(C=C1)Cl)N
854029,"(2R,3R)-2-amino-3-methylpentanamide",CC[C@@H](C)[C@H](C(=O)N)N
2724621,"(1R)-1-phenylethane-1,2-diol",C1=CC=C(C=C1)[C@H](CO)O
5862,(2R)-2-amino-3-sulfanylpropanoic acid,C([C@@H](C(=O)O)N)S
637513,ethyl (2R)-2-hydroxypropanoate,CCOC(=O)[C@@H](C)O
642783,(5R)-5-methyloxolan-2-one,C[C@@H]1CCC(=O)O1
