Molecule_ID,Name,SMILES,Handedness
Mol_24,"(1R)-1-(3,3-difluorocyclobutyl)ethanamine;hydrochloride_enantiomer",C[C@H](N)C1CC(F)(F)C1.Cl,S
Mol_25,(2R)-2-amino-2-(1H-pyrrol-3-yl)ethanol,N[C@@H](CO)c1cc[nH]c1,R
Mol_26,(2R)-2-amino-2-(1H-pyrrol-3-yl)ethanol_enantiomer,N[C@H](CO)c1cc[nH]c1,S
Mol_27,(2R)-2-ethenylmorpholine,C=C[C@@H]1CNCCO1,R
Mol_28,(2R)-2-ethenylmorpholine_enantiomer,C=C[C@H]1CNCCO1,S
Mol_29,1-bromo-4-[(R)-methylsulfinyl]benzene,C[S@@](=O)c1ccc(Br)cc1,S
Mol_30,1-bromo-4-[(R)-methylsulfinyl]benzene_enantiomer,C[S@](=O)c1ccc(Br)cc1,R
Mol_31,(2R)-2-(iodomethyl)oxetane,IC[C@H]1CCO1,R
Mol_32,(2R)-2-(iodomethyl)oxetane_enantiomer,IC[C@@H]1CCO1,S
Mol_33,(3R)-1-methylidene-3-prop-1-en-2-ylcyclohexane,C=C1CCC[C@@H](C(=C)C)C1,R
Mol_34,(3R)-1-methylidene-3-prop-1-en-2-ylcyclohexane_enantiomer,C=C1CCC[C@H](C(=C)C)C1,S
Mol_35,(3R)-oxolan-3-amine;hydrochloride,Cl.N[C@@H]1CCOC1,R
Mol_36,(3R)-oxolan-3-amine;hydrochloride_enantiomer,Cl.N[C@H]1CCOC1,S
Mol_37,(5R)-5-(hydroxymethyl)pyrrolidin-2-one,O=C1CC[C@H](CO)N1,R
Mol_38,(5R)-5-(hydroxymethyl)pyrrolidin-2-one_enantiomer,O=C1CC[C@@H](CO)N1,S
Mol_39,(R)-3-bromobenzenesulfinamide,N[S@](=O)c1cccc(Br)c1,S
Mol_40,(R)-3-bromobenzenesulfinamide_enantiomer,N[S@@](=O)c1cccc(Br)c1,R
Mol_41,"(4R)-2,2-dimethyl-1,3-dioxolane-4-carboxamide",CC1(C)OC[C@H](C(N)=O)O1,R
Mol_42,"(4R)-2,2-dimethyl-1,3-dioxolane-4-carboxamide_enantiomer",CC1(C)OC[C@@H](C(N)=O)O1,S
Mol_43,(2R)-3-amino-2-fluoropropanoic acid,NC[C@@H](F)C(=O)O,R
Mol_44,(2R)-3-amino-2-fluoropropanoic acid_enantiomer,NC[C@H](F)C(=O)O,S
Mol_45,(2R)-2-prop-2-enylpyrrolidine;hydrochloride,C=CC[C@H]1CCCN1.Cl,R
Mol_46,(2R)-2-prop-2-enylpyrrolidine;hydrochloride_enantiomer,C=CC[C@@H]1CCCN1.Cl,S
Mol_47,"(2R)-2-hydroxy-N,3,3-trimethylbutanamide",CNC(=O)[C@H](O)C(C)(C)C,R
Mol_48,"(2R)-2-hydroxy-N,3,3-trimethylbutanamide_enantiomer",CNC(=O)[C@@H](O)C(C)(C)C,S
Mol_49,(1R)-1-cyclohexylpropan-1-ol,CC[C@@H](O)C1CCCCC1,R
Mol_50,(1R)-1-cyclohexylpropan-1-ol_enantiomer,CC[C@H](O)C1CCCCC1,S
Mol_51,[(3R)-2-oxoazepan-3-yl]azanium,[NH3+][C@@H]1CCCCNC1=O,R
Mol_52,[(3R)-2-oxoazepan-3-yl]azanium_enantiomer,[NH3+][C@H]1CCCCNC1=O,S
Mol_53,(3R)-1-methyl-3-methylsulfanylpiperidine,CS[C@@H]1CCCN(C)C1,R
Mol_54,(3R)-1-methyl-3-methylsulfanylpiperidine_enantiomer,CS[C@H]1CCCN(C)C1,S
Mol_55,propyl (R)-methanesulfinate,CCCO[S@](C)=O,R
Mol_56,propyl (R)-methanesulfinate_enantiomer,CCCO[S@@](C)=O,S
Mol_57,(2R)-4-methylpentan-2-amine,CC(C)C[C@@H](C)N,R
Mol_58,(2R)-4-methylpentan-2-amine_enantiomer,CC(C)C[C@H](C)N,S
Mol_59,(2S)-2-amino-3-cyclopropylpropanoic acid,N[C@@H](CC1CC1)C(=O)O,S
Mol_60,(2S)-2-amino-3-cyclopropylpropanoic acid_enantiomer,N[C@H](CC1CC1)C(=O)O,R
Mol_61,4-isothiocyanato-4-[(R)-methylsulfinyl]but-1-ene,C=CCC(N=C=S)[S@@](C)=O,S
Mol_62,4-isothiocyanato-4-[(R)-methylsulfinyl]but-1-ene_enantiomer,C=CCC(N=C=S)[S@](C)=O,R
Mol_63,(2R)-6-oxaspiro[2.5]octan-2-amine;hydrochloride,Cl.N[C@@H]1CC12CCOCC2,R
Mol_64,(2R)-6-oxaspiro[2.5]octan-2-amine;hydrochloride_enantiomer,Cl.N[C@H]1CC12CCOCC2,S
Mol_65,"(4R)-4-methyl-1,2-oxazolidin-4-ol",C[C@@]1(O)CNOC1,R
Mol_66,"(4R)-4-methyl-1,2-oxazolidin-4-ol_enantiomer",C[C@]1(O)CNOC1,S
Mol_67,"(2R)-1-bromo-2,6-dimethylheptane",CC(C)CCC[C@@H](C)CBr,R
Mol_68,"(2R)-1-bromo-2,6-dimethylheptane_enantiomer",CC(C)CCC[C@H](C)CBr,S
Mol_69,"(4R)-4-(iodomethyl)-1,3-oxazolidin-2-one",O=C1N[C@@H](CI)CO1,R
Mol_70,"(4R)-4-(iodomethyl)-1,3-oxazolidin-2-one_enantiomer",O=C1N[C@H](CI)CO1,S
Mol_71,(3R)-1-(3-aminopropyl)pyrrolidin-3-ol,NCCCN1CC[C@@H](O)C1,R
Mol_72,(3R)-1-(3-aminopropyl)pyrrolidin-3-ol_enantiomer,NCCCN1CC[C@H](O)C1,S
Mol_73,"(3R)-N,1-dimethylpyrrolidin-3-amine;dihydrochloride",CN[C@@H]1CCN(C)C1.Cl.Cl,R
Mol_74,"(3R)-N,1-dimethylpyrrolidin-3-amine;dihydrochloride_enantiomer",CN[C@H]1CCN(C)C1.Cl.Cl,S
Mol_75,"(4R)-2,2-dimethyl-1,3-dioxolane-4-carboxylate",CC1(C)OC[C@H](C(=O)[O-])O1,R
Mol_76,"(4R)-2,2-dimethyl-1,3-dioxolane-4-carboxylate_enantiomer",CC1(C)OC[C@@H](C(=O)[O-])O1,S
Mol_77,(R)-amino-(4-chlorofuran-2-yl)methanol,N[C@H](O)c1cc(Cl)co1,R
Mol_78,(R)-amino-(4-chlorofuran-2-yl)methanol_enantiomer,N[C@@H](O)c1cc(Cl)co1,S
Mol_79,(2R)-2-phenylaziridine,c1ccc([C@@H]2CN2)cc1,R
Mol_80,(2R)-2-phenylaziridine_enantiomer,c1ccc([C@H]2CN2)cc1,S
Mol_81,"(3R)-3-methyloxathiolane 2,2-dioxide",C[C@@H]1CCOS1(=O)=O,R
Mol_82,"(3R)-3-methyloxathiolane 2,2-dioxide_enantiomer",C[C@H]1CCOS1(=O)=O,S
Mol_83,(2R)-2-(aminomethyl)-3-methylbutan-1-ol;hydrochloride,CC(C)[C@H](CN)CO.Cl,R
Mol_84,(2R)-2-(aminomethyl)-3-methylbutan-1-ol;hydrochloride_enantiomer,CC(C)[C@@H](CN)CO.Cl,S
Mol_85,"[(2R)-4,4-dimethyloxetan-2-yl]methanol",CC1(C)C[C@H](CO)O1,R
Mol_86,"[(2R)-4,4-dimethyloxetan-2-yl]methanol_enantiomer",CC1(C)C[C@@H](CO)O1,S
Mol_87,2-methyl-2-[(R)-propan-2-ylsulfinyl]propane,CC(C)[S@@](=O)C(C)(C)C,S
Mol_88,2-methyl-2-[(R)-propan-2-ylsulfinyl]propane_enantiomer,CC(C)[S@](=O)C(C)(C)C,R
Mol_89,(3R)-3-methylheptan-1-ol,CCCC[C@@H](C)CCO,R
Mol_90,(3R)-3-methylheptan-1-ol_enantiomer,CCCC[C@H](C)CCO,S
Mol_91,[(R)-deuterio(fluoro)methyl]benzene,[2H][C@@H](F)c1ccccc1,R
Mol_92,[(R)-deuterio(fluoro)methyl]benzene_enantiomer,[2H][C@H](F)c1ccccc1,S
Mol_93,"(2R)-1,1-dimethoxypropan-2-amine",COC(OC)[C@@H](C)N,R
Mol_94,"(2R)-1,1-dimethoxypropan-2-amine_enantiomer",COC(OC)[C@H](C)N,S
Mol_95,"(2R)-1,4-oxazepane-2-carboxamide",NC(=O)[C@H]1CNCCCO1,R
Mol_96,"(2R)-1,4-oxazepane-2-carboxamide_enantiomer",NC(=O)[C@@H]1CNCCCO1,S
Mol_97,(3R)-3-amino-4-hydroxybutanoic acid;hydrochloride,Cl.N[C@@H](CO)CC(=O)O,R
Mol_98,(3R)-3-amino-4-hydroxybutanoic acid;hydrochloride_enantiomer,Cl.N[C@H](CO)CC(=O)O,S
Mol_99,(2R)-2-(aminomethyl)-4-methylpentan-1-ol,CC(C)C[C@H](CN)CO,R
Mol_100,(2R)-2-(aminomethyl)-4-methylpentan-1-ol_enantiomer,CC(C)C[C@@H](CN)CO,S
Mol_101,(2R)-1-methoxypropan-2-ol,COC[C@@H](C)O,R
Mol_102,(2R)-1-methoxypropan-2-ol_enantiomer,COC[C@H](C)O,S
Mol_103,"(3R)-3-amino-2,2-dimethylbutanoic acid",C[C@@H](N)C(C)(C)C(=O)O,R
Mol_104,"(3R)-3-amino-2,2-dimethylbutanoic acid_enantiomer",C[C@H](N)C(C)(C)C(=O)O,S
Mol_105,ethyl (2S)-2-hydroxypropanoate,CCOC(=O)[C@H](C)O,S
Mol_106,ethyl (2S)-2-hydroxypropanoate_enantiomer,CCOC(=O)[C@@H](C)O,R
Mol_107,(2R)-2-ethoxy-2H-furan-5-one,CCO[C@H]1C=CC(=O)O1,R
Mol_108,(2R)-2-ethoxy-2H-furan-5-one_enantiomer,CCO[C@@H]1C=CC(=O)O1,S
Mol_109,"(2R)-2-amino-2,3,3-trimethylbutanoic acid",CC(C)(C)[C@@](C)(N)C(=O)O,R
Mol_110,"(2R)-2-amino-2,3,3-trimethylbutanoic acid_enantiomer",CC(C)(C)[C@](C)(N)C(=O)O,S
Mol_111,(2R)-4-methoxybutan-2-amine;hydrochloride,COCC[C@@H](C)N.Cl,R
Mol_112,(2R)-4-methoxybutan-2-amine;hydrochloride_enantiomer,COCC[C@H](C)N.Cl,S
Mol_113,"(4R)-4-propan-2-yl-1,3-oxazolidin-2-one",CC(C)[C@@H]1COC(=O)N1,R
Mol_114,"(4R)-4-propan-2-yl-1,3-oxazolidin-2-one_enantiomer",CC(C)[C@H]1COC(=O)N1,S
Mol_115,"(4R)-6-bromo-2-methylhex-2-ene-3,4-diol",CC(C)=C(O)[C@H](O)CCBr,R
Mol_116,"(4R)-6-bromo-2-methylhex-2-ene-3,4-diol_enantiomer",CC(C)=C(O)[C@@H](O)CCBr,S
Mol_117,(2R)-2-ethyl-2H-furan-5-one,CC[C@@H]1C=CC(=O)O1,R
Mol_118,(2R)-2-ethyl-2H-furan-5-one_enantiomer,CC[C@H]1C=CC(=O)O1,S
Mol_119,"[(2R)-2,3-dihydroxypropyl] propanoate",CCC(=O)OC[C@H](O)CO,R
